Sample ,Sample Type,Reference,Gly,D&L-Ser,D&L-Ala,D&L-Asp,D&L-Glu,D&L-valine,Type,EE=1 means fully racemic
Lab analog,Hydrothermal,Hennet et al. 1992,0.93,0.01,0.03,0.03,0.01,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.95,0,0.01,0.03,0.01,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.93,0.01,0.03,0.02,0.01,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.95,0,0.01,0.03,0.01,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.94,0,0.04,0.02,0.01,0,AP,
Lab analog,Hydrothermal,Holm and Anderson 1995,0.88,0,0.08,0.03,0.01,0,AP,
Lab analog,Hydrothermal,Holm and Anderson 1995,0.64,0,0.35,0,0.01,0,AP,
Natural sample,Hydrolized/desalted E. Coli,Aubrey 2008,0.27,0.46,0.16,0,0,0.11,B,
Natural sample,S.B. Gypsum,Aubrey 2008,0.22,0.44,0.21,0.01,0.02,0.1,B,
Natural sample,A.D. Soil,Aubrey 2008,0.17,0.49,0.05,0.02,0.28,0,B,
Natural sample,A.B. Gypsum,Aubrey 2008,0.03,0.1,0.03,0.45,0.38,0,B,
Natural sample,R.S. Anhydrite,Aubrey 2008,0.02,0.02,0.34,0,0.62,0,B,
Natural sample,H.C. Gypsum,Aubrey 2008,0.01,0.06,0.61,0.2,0.12,0,B,
Natural sample,P.V. Gypsum,Aubrey 2008,0,0.01,0.01,0.02,0.95,0,B,
Natural sample,Salt Lake Gypsum 1A,Aubrey 2008,0.2,0.15,0.12,0.25,0.25,0.03,B,
Natural sample,Salt Lake Gypsum 1B,Aubrey 2008,0.2,0.16,0.12,0.25,0.25,0.02,B,
Natural sample,Salt Lake Gypsum 1C,Aubrey 2008,0.14,0.15,0.1,0.24,0.23,0.15,B,
Natural sample,Salt Lake Gypsum 1D,Aubrey 2008,0.14,0.15,0.1,0.24,0.23,0.15,B,
Natural sample,Salt Lake Gypsum 2A,Aubrey 2008,0.27,0.15,0.12,0.21,0.24,0.01,B,
Natural sample,Salt Lake Gypsum 2B,Aubrey 2008,0.21,0.16,0.12,0.23,0.27,0.01,B,
Natural sample,Salt Lake Gypsum 7,Aubrey 2008,0.12,0.15,0.07,0.25,0.27,0.13,B,
Natural sample,Salt Lake Jarosite 4,Aubrey 2008,0.28,0.23,0.08,0.12,0.29,0,B,
Natural sample,Salt Lake Jarosite 5,Aubrey 2008,0.25,0.18,0.1,0.1,0.21,0.16,B,
Natural sample,Salt Lake Jarosite 8,Aubrey 2008,0.2,0.16,0.1,0.15,0.22,0.17,B,
Natural sample,Salt Lake Alunite 6,Aubrey 2008,0.31,0.16,0.12,0.05,0.22,0.13,B,
Natural sample,S.C Soil,Aubrey 2008,0.33,0.16,0.08,0.19,0.2,0.04,B,
Natural sample,S.C Bulk Ironstone,Aubrey 2008,0.24,0.28,0.05,0.12,0.16,0.15,B,
Natural sample,UCSD Canyon Bulk Ironstone,Aubrey 2008,0.19,0.15,0.1,0.3,0.16,0.09,B,
Natural sample,S.C Core,Aubrey 2008,0.16,0.18,0.08,0.14,0.25,0.18,B,
Natural sample,P.L Core,Aubrey 2008,0.2,0.22,0.09,0.13,0.22,0.14,B,
Natural sample,UCSD Canyon Core,Aubrey 2008,0.26,0.21,0.1,0.1,0.21,0.12,B,
Natural sample,Eastgate Core,Aubrey 2008,0.18,0.16,0.08,0.11,0.2,0.26,B,
Natural sample,Convoy Core,Aubrey 2008,0.19,0.22,0.07,0.1,0.22,0.19,B,
Natural sample,C.M Core,Aubrey 2008,0.19,0.26,0.09,0.1,0.22,0.14,B,
Natural sample,UCSD Canyon Scrapings >20µM,Aubrey 2008,0.27,0.19,0.09,0.1,0.16,0.19,B,
Natural sample,UCSD Canyon Scrapings <20µM,Aubrey 2008,0.21,0.2,0.17,0.08,0.18,0.16,B,
Natural sample,S.C Scrapings Mag,Aubrey 2008,0.4,0.23,0.17,0,0.01,0.18,B,
Natural sample,S.C Scrapings Non-Mag,Aubrey 2008,0.33,0.18,0.13,0.12,0.12,0.13,B,
Natural sample,COM-120-Sup,Aubrey 2008,0.22,0.13,0.15,0.19,0.31,0,B,
Natural sample,COM-120-G,Aubrey 2008,0.19,0.2,0.1,0.22,0.29,0,B,
Natural sample,COM-120-W,Aubrey 2008,0.26,0.1,0.14,0.18,0.31,0,B,
Natural sample,945-36-Sup,Aubrey 2008,0.27,0.11,0.18,0.17,0.27,0,B,
Natural sample,945-36-C1,Aubrey 2008,0.22,0.18,0.18,0.19,0.23,0,B,
Natural sample,945-36-F2,Aubrey 2008,0.21,0.22,0.14,0.17,0.25,0,B,
Natural sample,945-36-Y,Aubrey 2008,0.17,0.2,0.15,0.18,0.31,0,B,
Natural sample,834-560-Y,Aubrey 2008,0.25,0.09,0.17,0.19,0.3,0,B,
Natural sample,834-560-W,Aubrey 2008,0.28,0.09,0.17,0.18,0.28,0,B,
Natural sample,834-560-R,Aubrey 2008,0.27,0.15,0.14,0.17,0.26,0,B,
Natural sample,867-110-R,Aubrey 2008,0.27,0.09,0.15,0.19,0.3,0,B,
Natural sample,834-557-B,Aubrey 2008,0.18,0.14,0.1,0.3,0.27,0,B,
Natural sample,834-557-W,Aubrey 2008,0.26,0.14,0.11,0.25,0.24,0,B,
Natural sample,834-557-R,Aubrey 2008,0.34,0.1,0.13,0.16,0.27,0,B,
Natural sample,GG-680-Sup,Aubrey 2008,0.26,0.1,0.2,0.16,0.29,0,B,
Natural sample,GG-680-B,Aubrey 2008,0.18,0.09,0.23,0.19,0.31,0,B,
Natural sample,GG-680-W,Aubrey 2008,0.31,0.07,0.19,0.16,0.27,0,B,
Natural sample,40-AB1,Aubrey 2008,0.02,0.78,0.09,0.03,0.08,0,B,
Natural sample,40-A2,Aubrey 2008,0.01,0.8,0.08,0.03,0.08,0,B,
Natural sample,40-B2,Aubrey 2008,0.09,0.18,0.18,0.18,0.38,0,B,
Natural sample,40-C1,Aubrey 2008,0.09,0.18,0.38,0.18,0.18,0,B,
Natural sample,44-A1,Aubrey 2008,0.16,0.28,0.07,0.1,0.39,0,B,
Natural sample,44-A2,Aubrey 2008,0.13,0.28,0.05,0.12,0.42,0,B,
Natural sample,44-B1,Aubrey 2008,0,0.74,0.08,0.01,0.17,0,B,
Natural sample,44-B2,Aubrey 2008,0.19,0.5,0.04,0.02,0.24,0,B,
Natural sample,44-C1,Aubrey 2008,0.03,0.06,0.79,0.06,0.06,0,B,
Natural sample,54-A1,Aubrey 2008,0.12,0.32,0.06,0.09,0.4,0,B,
Natural sample,54-A2,Aubrey 2008,0.15,0.25,0.07,0.15,0.37,0,B,
Natural sample,54-A3,Aubrey 2008,0.22,0.24,0.11,0.2,0.24,0,B,
Natural sample,54-A4,Aubrey 2008,0.23,0.25,0.1,0.19,0.23,0,B,
Natural sample,57-A1,Aubrey 2008,0.11,0.34,0.04,0.07,0.44,0,B,
Natural sample,57-A2,Aubrey 2008,0.08,0.29,0.07,0.12,0.44,0,B,
Natural sample,57-A3,Aubrey 2008,0.13,0.26,0.06,0.2,0.36,0,B,
Natural sample,60-A1,Aubrey 2008,0.1,0.29,0.2,0.2,0.2,0,B,
Natural sample,60-B1,Aubrey 2008,0.08,0.3,0.22,0.17,0.22,0,B,
Natural sample,60-B2,Aubrey 2008,0.19,0.36,0.06,0.1,0.29,0,B,
Natural sample,60-C1,Aubrey 2008,0.03,0.39,0.11,0.06,0.4,0,B,
Natural sample,GY-01,Aubrey 2008,0.08,0.61,0.08,0.02,0.21,0,B,
Natural sample,GY-02,Aubrey 2008,0.02,0.32,0.05,0.15,0.45,0,B,
Natural sample,SP-000,Aubrey 2008,0.06,0.18,0.02,0.64,0.1,0,B,
Natural sample,SP-088,Aubrey 2008,0.11,0.22,0.22,0.22,0.22,0,B,
Natural sample,SP-136,Aubrey 2008,0.26,0.1,0.37,0.16,0.12,0,B,
Natural sample,40AB1,Aubrey 2008,0.37,0.04,0.23,0.3,0.06,0,B,
Natural sample,40A2,Aubrey 2008,0.3,0.16,0.19,0.29,0.06,0,B,
Natural sample,40C1,Aubrey 2008,0.61,0.39,0,0,0,0,B,
Natural sample,44A1,Aubrey 2008,0.28,0.36,0.08,0.24,0.04,0,B,
Natural sample,44B1,Aubrey 2008,0.26,0.32,0.05,0.34,0.03,0,B,
Natural sample,57A1,Aubrey 2008,0.22,0.3,0.09,0.35,0.05,0,B,
Natural sample,150C 10mins,Amashukeli et al 2009,0.21,0.03,0.08,0.11,0.53,0.05,B,
Natural sample,200C 0mins,Amashukeli et al 2011,0.19,0.15,0.12,0,0.5,0.04,B,
Natural sample,200C 10mins,Amashukeli et al 2012,0.36,0.11,0.06,0.37,0.07,0.03,B,
Natural sample,200C 30mins,Amashukeli et al 2013,0.35,0.29,0,0.24,0.03,0.09,B,
Natural sample,250C 0mins,Amashukeli et al 2014,0.56,0.22,0.02,0,0.17,0.04,B,
Natural sample,250C 10mins,Amashukeli et al 2015,0.41,0.36,0.02,0.05,0.02,0.13,B,
Natural sample,250C 30mins,Amashukeli et al 2016,0.43,0.37,0.01,0,0.04,0.16,B,
Natural sample,150C 5mins,Amashukeli et al 2018,0.07,0.07,0.07,0,0.71,0.07,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.06,0.04,0.02,0.04,0.84,0,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.16,0.03,0,0.08,0.73,0,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.03,0.05,0.03,0.08,0.79,0.02,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.03,0.03,0.02,0.04,0.86,0.02,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.02,0.03,0.04,0.05,0.78,0.07,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.02,0.04,0.06,0.05,0.81,0.02,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.75,0.01,0.01,0.01,0.21,0,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.11,0.12,0.04,0.09,0.53,0.12,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.29,0.06,0.1,0.04,0.5,0.01,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.05,0.19,0.05,0.05,0.62,0.03,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.35,0.04,0.07,0.03,0.48,0.02,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.07,0.19,0.08,0.16,0.37,0.13,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.28,0.33,0.04,0.07,0.22,0.06,B,
Natural sample,Interstitial water ,Morris and Bale 1979,0.09,0.42,0.06,0.09,0.25,0.1,B,
Natural sample,Sediment,Morris and Bale 1979,0,0.18,0.07,0.1,0.55,0.09,B,
Natural sample,Sediment,Morris and Bale 1979,0.06,0.2,0.14,0.28,0.17,0.15,B,
Natural sample,Sediment,Morris and Bale 1979,0.17,0.18,0.15,0.23,0.12,0.14,B,
Natural sample,Ocean Water,Pocklington 1971,0.11,0.3,0.31,0,0.23,0.06,B,
Natural sample,Ocean Water,Pocklington 1971,0.3,0.16,0,0.01,0.53,0,B,
Natural sample,Ocean Water,Pocklington 1971,0.29,0.37,0.06,0,0,0.28,B,
Natural sample,Ocean Water,Pocklington 1971,0.71,0.08,0.09,0,0,0.13,B,
Natural sample,Ocean Water,Pocklington 1971,0.05,0.23,0.49,0,0,0.23,B,
Natural sample,Ocean Water,Pocklington 1971,0,0.68,0.03,0.03,0,0.26,B,
Natural sample,Hydrothermal vent,Takano et al 2004,0.36,0.19,0.18,0.08,0.12,0.07,B,
Natural sample,Hydrothermal vent,Takano et al 2004,0.52,0.16,0.03,0.25,0.02,0.03,B,
